time,Rx,Ry,Rz,Vx(km/s)[J2000-EARTH],Vy(km/s)[J2000-EARTH],Vz(km/s)[J2000-EARTH],mmm,distance,R(km),volacity,B_n,Vx min/max,Vy min/max,Vz min/max,Vx min/max.1,Vx min/max.2,Vx min/max.3,MOON Rx(km)[J2000-EARTH],MOON Ry(km)[J2000-EARTH],MOON Rz(km)[J2000-EARTH]
1583.276718,-29900.0,8430.0,11300.0,-4.7,-0.508,0.242,22666.29909,4812.586148764257,33056.99472123865,4.753305060691981,108455.3857155938,,,,,,,-366000.0,143000.0,85300.0
1584.276718,-30200.0,8400.0,11300.0,-4.68,-0.514,0.235,22666.29909,4817.319712749248,33321.01439032131,4.733563984990591,106743.4982986081,,,,,,,-366000.0,143000.0,85300.0
1585.276718,-30500.0,8370.0,11300.0,-4.66,-0.519,0.228,22666.29909,4822.033715400923,33585.66509688323,4.714002651675113,105067.8762733858,,,,,,,-366000.0,143000.0,85300.0
1586.276718,-30700.0,8340.0,11300.0,-4.64,-0.524,0.221,22666.29909,4826.72806785893,33759.97037913393,4.694352458007388,103985.7303096981,,,,,,,-366000.0,143000.0,85300.0
1587.276718,-31000.0,8310.0,11400.0,-4.62,-0.529,0.214,22666.29909,4831.402788920128,34059.00908717105,4.674721061197127,102167.75329753,,,,,,,-366000.0,143000.0,85200.0
1588.276718,-31300.0,8270.0,11400.0,-4.6,-0.534,0.207,22666.29909,4836.057897619181,34322.62956126759,4.655108699053117,100604.3487261466,,,,,,,-366000.0,143000.0,85200.0
1589.276718,-31600.0,8240.0,11400.0,-4.58,-0.539,0.2,22666.29909,4840.693413232357,34589.27001253423,4.635515613176165,99059.25717405169,,,,,,,-366000.0,143000.0,85200.0
1590.276718,-31800.0,8210.0,11400.0,-4.56,-0.544,0.194,22666.29909,4845.309355281386,34764.98381993008,4.615942049029646,98060.43081101702,,,,,,,-366000.0,143000.0,85200.0
1591.276718,-32100.0,8180.0,11400.0,-4.55,-0.549,0.187,22666.29909,4849.905785635477,35032.59054080928,4.596430354090008,96568.02601093469,,,,,,,-366000.0,143000.0,85100.0
1592.276718,-32400.0,8140.0,11400.0,-4.53,-0.553,0.181,22666.29909,4854.492600434442,35298.43622598599,4.586814798964527,95118.92387801752,,,,,,,-366000.0,143000.0,85100.0
1593.276718,-32700.0,8110.0,11400.0,-4.51,-0.557,0.175,22666.29909,4859.059817311271,35567.14916886087,4.567216876829915,93687.0895188017,,,,,,,-366000.0,143000.0,85100.0
1594.276718,-32900.0,8080.0,11400.0,-4.49,-0.562,0.169,22666.29909,4863.607451201548,35744.31982847065,4.547633890277448,92760.65045810532,,,,,,,-366000.0,143000.0,85100.0
1595.276718,-33200.0,8040.0,11500.0,-4.48,-0.566,0.163,22666.29909,4868.135641237313,36043.46820160346,4.528190035764842,91227.27730274806,,,,,,,-366000.0,143000.0,85000.0
1596.276718,-33500.0,8010.0,11500.0,-4.46,-0.57,0.157,22666.29909,4872.654194656274,36313.35980049216,4.518553418960542,89876.26055111719,,,,,,,-366000.0,143000.0,85000.0
1597.276718,-33700.0,7970.0,11500.0,-4.44,-0.574,0.151,22666.29909,4877.153211104343,36489.18880983791,4.499016448069511,89012.1810756607,,,,,,,-366000.0,142000.0,85000.0
1598.276718,-34000.0,7940.0,11500.0,-4.43,-0.578,0.146,22666.29909,4881.632706276793,36759.94559299565,4.479495172449682,87705.76485077816,,,,,,,-366000.0,142000.0,85000.0
1599.276718,-34300.0,7900.0,11500.0,-4.41,-0.582,0.14,22666.29909,4886.102639162195,37029.04265573173,4.469932885402195,86435.64797867651,,,,,,,-366000.0,142000.0,85000.0
1600.276718,-34500.0,7870.0,11500.0,-4.39,-0.585,0.135,22666.29909,4890.553080039233,37208.02198451296,4.450440877036791,85606.096403499,,,,,,,-366000.0,142000.0,84900.0
